ac_voltage2,dc_current2,ac_voltage1,sampleTime,tdate,dc_voltage1,dc_current4,dc_voltage4,dc_voltage3,dc_current1,key,dc_current3,ac_current1,FALSE,ac_current2,dc_voltage2
279,628,319,1380718612,02/10/2013 10:57,560,541,489,597,605,5.27455E+15,631,16,,17,440
262,596,314,1380717979,02/10/2013 10:46,512,575,443,507,541,6.26789E+15,552,24,,4,424
288,537,317,1380717343,02/10/2013 10:36,502,627,424,468,541,6.57582E+15,553,9,,3,424
288,603,317,1380716701,02/10/2013 10:25,523,564,455,518,601,4.67222E+15,628,15,,11,433
264,580,315,1380716068,02/10/2013 10:14,498,620,454,456,562,5.14199E+15,582,8,,3,424
264,535,315,1380715435,02/10/2013 10:04,552,537,436,590,606,5.93309E+15,606,10,,22,452
264,535,316,1380714797,02/10/2013 09:53,531,528,475,496,577,5.341E+15,613,14,,4,436
288,648,314,1380714164,02/10/2013 09:43,511,620,438,473,559,6.60248E+15,575,26,,10,407
288,564,316,1380713528,02/10/2013 09:32,542,561,491,504,608,4.56289E+15,660,27,,3,441
282,607,341,1380712895,02/10/2013 09:21,521,526,487,524,602,4.80719E+15,661,7,,9,435
293,533,341,1380712262,02/10/2013 09:11,520,533,461,474,566,5.46332E+15,592,10,,3,430
305,570,393,1380711630,02/10/2013 09:00,519,544,489,498,603,6.01287E+15,673,17,,14,409
293,517,341,1380710998,02/10/2013 08:50,514,552,468,472,582,6.70913E+15,616,12,,3,437
293,528,343,1380710361,02/10/2013 08:39,528,632,471,504,604,5.8375E+15,671,16,,6,445
297,529,369,1380709728,02/10/2013 08:29,524,552,478,503,603,6.13292E+15,669,5,,6,405
333,536,420,1380709086,02/10/2013 08:18,529,541,475,499,600,4.7116E+15,664,5,,3,442
342,513,445,1380708452,02/10/2013 08:07,518,538,472,495,592,6.73525E+15,636,16,,3,442
369,517,446,1380707819,02/10/2013 07:57,534,538,476,509,600,6.30774E+15,661,24,,3,447
393,542,447,1380707185,02/10/2013 07:46,523,580,458,496,575,4.91363E+15,603,14,,3,439
368,514,446,1380706553,02/10/2013 07:36,527,532,469,502,594,6.32101E+15,644,15,,3,439
337,508,424,1380705920,02/10/2013 07:25,527,519,475,503,596,6.21456E+15,648,1,,3,409
339,513,420,1380705284,02/10/2013 07:15,531,521,474,502,595,5.08866E+15,645,2,,3,444
333,509,417,1380704650,02/10/2013 07:04,531,516,471,510,541,5.60935E+15,641,2,,2,412
435,513,451,1380650918,01/10/2013 16:08,28,537,419,34,511,5.0464E+15,512,3,,2,327
445,512,451,1380650273,01/10/2013 15:58,165,676,406,192,511,6.29434E+15,512,19,,3,326
424,512,451,1380649638,01/10/2013 15:47,347,550,421,336,511,5.22204E+15,510,2,,2,323
424,513,449,1380649001,01/10/2013 15:37,369,537,419,361,512,6.45377E+15,512,4,,2,357
418,511,448,1380648368,01/10/2013 15:26,410,640,408,377,512,6.55513E+15,513,21,,3,400
417,511,446,1380647735,01/10/2013 15:15,408,667,409,405,513,5.86471E+15,514,15,,3,402
368,512,445,1380647101,01/10/2013 15:05,408,535,421,410,516,6.65959E+15,515,3,,3,402
365,527,446,1380646464,01/10/2013 14:54,371,513,426,414,515,5.40999E+15,515,14,,4,366
365,533,446,1380645830,01/10/2013 14:44,488,526,425,414,518,4.73881E+15,518,6,,5,394
369,518,446,1380645191,01/10/2013 14:33,403,525,427,415,519,4.77805E+15,516,9,,4,396
374,516,446,1380644427,01/10/2013 14:20,403,521,427,413,520,5.73139E+15,518,11,,3,398
393,519,447,1380643794,01/10/2013 14:10,404,520,427,416,518,4.55244E+15,516,7,,3,398
394,533,447,1380643155,01/10/2013 13:59,405,528,423,414,517,5.95178E+15,516,10,,7,398
417,552,447,1380642520,01/10/2013 13:49,404,671,412,412,522,6.69869E+15,518,11,,3,399
418,529,448,1380641229,01/10/2013 13:27,408,638,420,400,514,5.53369E+15,518,10,,6,402
419,529,449,1380640580,01/10/2013 13:16,411,536,428,417,515,5.57279E+15,517,4,,5,404
418,613,447,1380639947,01/10/2013 13:06,417,533,444,434,519,6.05678E+15,522,15,,3,409
419,513,450,1380639315,01/10/2013 12:55,584,522,473,545,560,6.60764E+15,579,2,,3,376
418,509,448,1380638681,01/10/2013 12:45,561,525,463,516,544,6.72473E+15,555,7,,2,444
385,513,446,1380638041,01/10/2013 12:34,564,523,461,568,556,4.93088E+15,571,3,,3,436
342,514,445,1380637319,01/10/2013 12:22,542,516,443,526,539,6.48868E+15,545,3,,3,421
334,614,422,1380636686,01/10/2013 12:11,389,518,433,424,524,4.85233E+15,529,15,,7,387
333,610,419,1380636050,01/10/2013 12:01,397,554,431,414,517,5.54695E+15,521,13,,4,391
342,668,419,1380635418,01/10/2013 11:50,394,524,431,420,516,5.4425E+15,519,15,,19,391
333,545,420,1380634785,01/10/2013 11:40,400,532,431,420,515,6.09664E+15,519,5,,21,394
324,748,379,1380634153,01/10/2013 11:29,402,530,431,422,515,4.82588E+15,521,7,,17,391
300,549,373,1380633514,01/10/2013 11:18,405,542,436,426,525,6.00545E+15,531,9,,7,398
333,735,419,1380632881,01/10/2013 11:08,525,615,433,482,548,6.13574E+15,564,26,,3,412
333,726,419,1380632246,01/10/2013 10:57,540,633,463,503,566,5.69147E+15,592,23,,24,415
333,555,419,1380631614,01/10/2013 10:47,538,639,431,496,558,6.16178E+15,579,12,,5,432
