text,tdate,key
"Mon Sep 16 16:34:49 2013
 (Rwanda).successful (1s) - GSM (2G). Registered on Home Network (-67dbm). Successful (54 bytes - 4s).",2013-09-16 14:34:55,4604617258172416
"Sun Sep 22 06:15:00 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Unsuccessful.",2013-09-22 04:15:07,4604960855556096
"Tue Oct  1 14:34:24 2013
 (Rwanda).successful (1s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 4s).",2013-10-01 12:34:38,4605493431500800
"Thu Sep 19 17:58:11 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Successful (54 bytes - 5s).",2013-09-19 15:58:17,4606747561951232
"Wed Sep 11 18:01:39 2013
 (Rwanda).successful (4s) - UMTS (3G). Registered on Home Network (-103dbm). Successful (54 bytes - 5s).",2013-09-11 16:01:48,4607503476195328
"Wed Sep 25 15:16:43 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 5s).",2013-09-25 13:16:49,4608774786514944
"Wed Sep 25 12:37:21 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 4s).",2013-09-25 10:37:25,4609324542328832
"Wed Sep 18 15:35:35 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Successful (55 bytes - 22s).",2013-09-18 13:35:42,4609702499450880
"Sat Sep 28 05:42:55 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Unsuccessful.",2013-09-28 03:42:59,4612227940220928
"Thu Sep 12 10:56:01 2013
 (Rwanda).successful (3s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 6s).",2013-09-12 08:56:06,4616986763984896
"Tue Oct  1 17:47:42 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Successful (54 bytes - 5s).",2013-10-01 15:47:49,4618893729464320
"Sun Sep 29 11:00:29 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 5s).",2013-09-29 09:00:34,4621298911150080
"Thu Oct  3 16:20:19 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (54 bytes - 5s).",2013-10-03 14:20:30,4622810739638272
"Sat Sep 28 18:48:44 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-09-28 16:48:48,4629270370451456
"Thu Sep 26 13:31:16 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 4s).",2013-09-26 11:31:22,4629734226919424
"Wed Oct  2 05:11:21 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-10-02 03:11:27,4632156588474368
"Thu Sep 12 08:17:43 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 5s).",2013-09-12 06:17:49,4634166633168896
"Sun Sep 15 09:56:29 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 5s).",2013-09-15 07:56:34,4635266144796672
"Thu Sep 26 06:15:22 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Unsuccessful.",2013-09-26 04:15:28,4635437943488512
"Thu Sep 19 15:59:17 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 8s).",2013-09-19 13:59:23,4635575382441984
"Thu Oct  3 11:23:03 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 5s).",2013-10-03 09:23:08,4635936159694848
"Sun Sep 15 15:46:09 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 6s).",2013-09-15 13:46:14,4639251874447360
"Wed Sep 11 13:19:32 2013
 (Rwanda).successful (4s) - GSM (2G). Registered on Home Network (-77dbm). Successful (54 bytes - 9s).",2013-09-11 11:19:51,4639526752354304
